,eta,phi,PT,jmass,ntrk,btag,hadem,event#
0,0.108,1.263,1409.94,460.79,-1.0,0.0,0.52,0
1,0.293,-2.672,963.81,243.98,1.0,0.0,0.7,0
2,0.341,-1.938,321.95,73.8,1.0,0.0,1.64,0
3,0.005,-0.235,954.67,269.04,1.0,0.0,0.89,1
4,-0.55,1.246,759.71,216.57,1.0,0.0,0.5,1
5,0.225,-1.042,742.59,185.89,-1.0,0.0,1.08,1
6,-0.168,-2.421,359.67,96.85,-1.0,0.0,0.75,1
7,-0.29,0.501,196.99,38.08,1.0,0.0,1.59,1
8,-1.612,-2.958,156.72,32.27,-1.0,0.0,0.49,1
9,-1.927,-2.218,52.47,8.92,-1.0,0.0,0.91,1
10,-0.522,-0.13,38.82,1.69,1.0,0.0,3.89,1
11,0.403,-1.559,30.17,6.83,-1.0,0.0,0.0,1
12,-0.093,1.631,463.08,128.57,-1.0,0.0,0.22,2
13,1.056,-1.647,299.96,74.18,1.0,0.0,0.65,2
14,-0.177,0.212,1386.3,319.8,-1.0,0.0,0.34,3
15,-0.299,2.569,445.77,83.15,-1.0,0.0,1.31,3
16,0.471,1.148,32.06,2.21,1.0,0.0,999.9,3
17,0.406,-2.354,620.58,125.72,1.0,0.0,0.51,4
18,0.631,0.869,83.23,11.21,1.0,0.0,32.71,4
19,1.829,-1.819,37.27,7.9,1.0,0.0,4.02,4
20,0.514,-1.811,249.07,58.07,-1.0,0.0,0.24,5
21,-0.446,0.693,1283.13,407.59,-1.0,0.0,0.55,6
22,-0.578,-2.21,700.83,175.77,1.0,0.0,0.22,6
23,-0.941,-0.019,271.24,54.91,-1.0,0.0,0.35,6
24,-0.016,1.244,181.14,35.12,-1.0,0.0,3.43,6
25,-1.629,-0.083,74.9,19.06,-1.0,0.0,1.64,6
26,0.199,-2.214,669.48,174.86,1.0,0.0,0.02,7
27,0.696,-0.429,491.54,131.43,1.0,0.0,0.19,7
28,0.404,1.707,130.16,26.43,-1.0,0.0,0.0,7
29,1.178,-0.147,87.76,4.53,1.0,0.0,0.0,7
30,0.627,-2.863,52.16,2.9,1.0,0.0,999.9,7
31,0.79,-0.727,259.82,58.87,-1.0,0.0,0.34,8
32,0.959,1.857,237.01,31.13,-1.0,0.0,0.93,8
33,0.11,-2.432,195.53,37.03,1.0,0.0,0.36,8
34,-1.611,1.699,110.54,30.42,1.0,0.0,0.35,8
35,-0.123,-1.025,949.82,247.58,1.0,0.0,0.51,9
36,-0.872,0.581,28.55,6.63,1.0,0.0,5.0,9
37,0.015,-0.373,717.21,198.21,-1.0,0.0,0.74,10
38,-0.284,0.433,337.98,97.33,1.0,0.0,0.85,10
39,-0.586,-2.942,726.34,211.11,-1.0,0.0,0.83,11
40,-0.33,-2.31,449.25,128.4,-1.0,0.0,0.13,11
41,0.232,-1.105,390.62,107.99,-1.0,0.0,0.58,11
