,eta,phi,PT,jmass,ntrk,btag,hadem
0,0.278,2.892,426.67,0.0,0.0,0.0,0.0
1,-1.847,2.47,144.0,0.0,0.0,0.0,0.0
2,-0.064,0.285,215.69,0.0,0.0,0.0,0.0
3,0.142,-1.827,116.27,0.0,0.0,0.0,0.0
4,-0.288,1.319,647.41,0.0,0.0,0.0,0.0
5,0.491,-2.362,120.13,0.0,0.0,0.0,0.0
6,-0.383,2.629,17.09,0.0,0.0,0.0,0.0
7,-1.609,0.772,158.07,0.0,0.0,0.0,0.0
8,-1.064,-2.711,322.91,0.0,0.0,0.0,0.0
9,-0.193,0.302,526.06,0.0,0.0,0.0,0.0
10,0.378,0.545,270.64,0.0,0.0,0.0,0.0
11,0.195,1.335,269.53,0.0,0.0,0.0,0.0
12,1.597,-0.037,264.61,0.0,0.0,0.0,0.0
13,2.414,2.009,23.5,0.0,0.0,0.0,0.0
14,0.414,0.784,78.47,0.0,0.0,0.0,0.0
15,0.481,2.529,81.72,0.0,0.0,0.0,0.0
16,-1.147,0.177,545.81,0.0,0.0,0.0,0.0
17,-0.283,0.182,329.23,0.0,0.0,0.0,0.0
18,1.028,-2.156,308.24,0.0,0.0,0.0,0.0
19,0.344,-0.788,307.95,0.0,0.0,0.0,0.0
20,-1.337,3.008,233.7,0.0,0.0,0.0,0.0
21,-0.538,1.09,219.45,0.0,0.0,0.0,0.0
22,-2.172,2.56,32.85,0.0,0.0,0.0,0.0
23,-0.477,2.287,59.09,0.0,0.0,0.0,0.0
24,1.54,-0.697,50.26,0.0,0.0,0.0,0.0
25,-0.399,-0.895,136.09,0.0,0.0,0.0,0.0
26,-0.227,0.984,52.88,0.0,0.0,0.0,0.0
27,1.189,-1.295,69.92,0.0,0.0,0.0,0.0
28,-1.755,-1.4,23.33,0.0,0.0,0.0,0.0
29,-2.5,1.281,21.92,0.0,0.0,0.0,0.0
30,2.432,0.35,23.34,0.0,0.0,0.0,0.0
31,0.058,-1.87,717.41,0.0,0.0,0.0,0.0
32,1.251,-2.022,481.46,0.0,0.0,0.0,0.0
33,-0.831,1.056,22.64,0.0,0.0,0.0,0.0
34,0.37,-2.857,117.02,0.0,0.0,0.0,0.0
35,-1.984,2.511,70.22,0.0,0.0,0.0,0.0
