,eta,phi,PT,jmass,ntrk,btag,hadem
0,2.001,2.118,36.15,0.0,-1.0,0.0,0.0
1,-0.34,-0.854,237.88,0.0,-1.0,0.0,0.0
2,-2.39,0.727,31.67,0.0,-1.0,0.0,0.0
3,1.605,-0.214,52.68,0.0,1.0,0.0,0.0
4,1.947,3.092,44.7,0.0,1.0,0.0,0.0
5,1.15,1.418,313.8,0.0,1.0,0.0,0.0
6,1.245,-1.581,73.37,0.0,-1.0,0.0,0.0
7,1.931,0.614,92.03,0.0,-1.0,0.0,0.0
8,1.686,-1.079,27.86,0.0,-1.0,0.0,0.0
9,0.627,-0.691,37.58,0.0,1.0,0.0,0.0
10,2.451,1.034,10.98,0.0,-1.0,0.0,0.0
11,0.234,2.192,27.02,0.0,1.0,0.0,0.0
12,-0.289,-1.248,124.5,0.0,1.0,0.0,0.0
13,0.267,-2.752,44.87,0.0,1.0,0.0,0.0
14,-0.775,-2.584,129.9,0.0,-1.0,0.0,0.0
15,-0.58,1.941,113.01,0.0,1.0,0.0,0.0
16,-1.192,0.124,64.57,0.0,-1.0,0.0,0.0
17,2.485,-2.84,188.43,0.0,-1.0,0.0,0.0
18,-1.03,2.122,76.65,0.0,1.0,0.0,0.0
19,0.669,-1.798,263.87,0.0,1.0,0.0,0.0
20,0.761,0.387,170.13,0.0,1.0,0.0,0.0
21,-2.241,-1.09,33.08,0.0,-1.0,0.0,0.0
22,-1.048,3.06,449.95,0.0,1.0,0.0,0.0
23,0.354,2.416,105.82,0.0,1.0,0.0,0.0
24,-0.336,-1.512,117.74,0.0,-1.0,0.0,0.0
25,-1.641,1.005,73.41,0.0,1.0,0.0,0.0
26,-1.826,-0.252,31.57,0.0,1.0,0.0,0.0
27,1.294,0.644,21.39,0.0,1.0,0.0,0.0
28,2.267,3.116,18.02,0.0,1.0,0.0,0.0
29,-1.809,2.466,49.56,0.0,1.0,0.0,0.0
30,-2.098,-2.56,40.08,0.0,1.0,0.0,0.0
31,-2.187,1.411,10.23,0.0,1.0,0.0,0.0
32,-0.183,-3.041,303.52,0.0,1.0,0.0,0.0
33,-2.149,-1.3,29.37,0.0,-1.0,0.0,0.0
34,-0.844,0.789,173.01,0.0,-1.0,0.0,0.0
35,-1.136,-1.809,89.49,0.0,-1.0,0.0,0.0
36,2.053,-2.1,62.47,0.0,1.0,0.0,0.0
37,2.242,-2.418,159.0,0.0,-1.0,0.0,0.0
38,-1.48,2.74,90.98,0.0,1.0,0.0,0.0
39,-1.054,1.538,60.19,0.0,-1.0,0.0,0.0
40,1.307,0.96,60.32,0.0,-1.0,0.0,0.0
41,0.776,-1.27,175.07,0.0,-1.0,0.0,0.0
42,-2.224,0.031,32.42,0.0,-1.0,0.0,0.0
43,-2.087,2.79,25.8,0.0,1.0,0.0,0.0
44,1.883,-2.345,118.78,0.0,-1.0,0.0,0.0
45,-1.229,2.737,46.55,0.0,1.0,0.0,0.0
46,-1.325,-1.701,180.87,0.0,1.0,0.0,0.0
47,1.532,2.709,49.72,0.0,-1.0,0.0,0.0
48,1.147,-0.636,26.65,0.0,1.0,0.0,0.0
49,-2.054,1.666,148.77,0.0,-1.0,0.0,0.0
50,-1.074,-2.346,76.07,0.0,1.0,0.0,0.0
51,-1.921,-1.126,378.76,0.0,1.0,0.0,0.0
52,0.409,-0.956,75.58,0.0,1.0,0.0,0.0
53,0.321,-0.488,108.25,0.0,-1.0,0.0,0.0
54,1.595,0.995,21.33,0.0,-1.0,0.0,0.0
55,-2.494,-2.319,68.05,0.0,1.0,0.0,0.0
56,-0.971,0.147,80.71,0.0,1.0,0.0,0.0
57,2.334,1.623,74.11,0.0,-1.0,0.0,0.0
58,2.105,1.389,62.84,0.0,1.0,0.0,0.0
59,-1.096,2.145,23.46,0.0,1.0,0.0,0.0
60,-0.757,3.119,339.83,0.0,1.0,0.0,0.0
61,-0.427,-3.002,125.56,0.0,1.0,0.0,0.0
62,1.684,1.893,106.19,0.0,1.0,0.0,0.0
63,-0.708,2.212,195.87,0.0,1.0,0.0,0.0
64,0.909,0.36,384.36,0.0,-1.0,0.0,0.0
65,0.133,-0.72,306.47,0.0,1.0,0.0,0.0
66,0.579,1.776,280.64,0.0,-1.0,0.0,0.0
67,-1.108,-2.018,132.34,0.0,-1.0,0.0,0.0
68,-0.471,1.787,61.78,0.0,-1.0,0.0,0.0
69,-0.89,-1.422,151.39,0.0,-1.0,0.0,0.0
70,-2.15,1.707,22.74,0.0,-1.0,0.0,0.0
71,2.095,1.196,66.73,0.0,-1.0,0.0,0.0
72,1.242,2.243,75.71,0.0,-1.0,0.0,0.0
73,-2.03,-1.726,17.99,0.0,-1.0,0.0,0.0
74,0.142,0.104,119.86,0.0,-1.0,0.0,0.0
75,2.22,1.977,56.84,0.0,1.0,0.0,0.0
76,-1.819,0.132,26.24,0.0,1.0,0.0,0.0
77,-0.236,1.419,29.84,0.0,-1.0,0.0,0.0
78,-0.963,-2.514,327.46,0.0,-1.0,0.0,0.0
79,-0.149,-1.379,60.73,0.0,1.0,0.0,0.0
80,1.078,-3.082,29.06,0.0,-1.0,0.0,0.0
81,1.663,1.705,155.8,0.0,1.0,0.0,0.0
